fideid;name;title;country;rating;games;birthday;flag;date
1503014;Carlsen, Magnus;GM;NOR;2870;6;1990;"";2013-10-01
2020009;Caruana, Fabiano;GM;ITA;2779;10;1992;"";2013-10-01
8603677;Ding, Liren;GM;CHN;2722;0;1992;"";2013-10-01
24116068;Giri, Anish;GM;NED;2749;13;1994;"";2013-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2759;8;1985;"";2013-10-01
1503014;Carlsen, Magnus;GM;NOR;2870;0;1990;"";2013-11-01
2020009;Caruana, Fabiano;GM;ITA;2782;25;1992;"";2013-11-01
8603677;Ding, Liren;GM;CHN;2711;6;1992;"";2013-11-01
24116068;Giri, Anish;GM;NED;2732;19;1994;"";2013-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;11;1985;"";2013-11-01
1503014;Carlsen, Magnus;GM;NOR;2872;10;1990;"";2013-12-01
2020009;Caruana, Fabiano;GM;ITA;2782;9;1992;"";2013-12-01
8603677;Ding, Liren;GM;CHN;2710;3;1992;"";2013-12-01
24116068;Giri, Anish;GM;NED;2734;10;1994;"";2013-12-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;8;1985;"";2013-12-01
1503014;Carlsen, Magnus;GM;NOR;2872;0;1990;"";2014-01-01
2020009;Caruana, Fabiano;GM;ITA;2782;0;1992;"";2014-01-01
8603677;Ding, Liren;GM;CHN;2717;9;1992;"";2014-01-01
24116068;Giri, Anish;GM;NED;2734;9;1994;"";2014-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;0;1985;"";2014-01-01
1503014;Carlsen, Magnus;GM;NOR;2872;0;1990;"";2014-02-01
2020009;Caruana, Fabiano;GM;ITA;2781;11;1992;"";2014-02-01
8603677;Ding, Liren;GM;CHN;2717;0;1992;"";2014-02-01
24116068;Giri, Anish;GM;NED;2746;11;1994;"";2014-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;0;1985;"";2014-02-01
1503014;Carlsen, Magnus;GM;NOR;2881;5;1990;"";2014-03-01
2020009;Caruana, Fabiano;GM;ITA;2783;5;1992;"";2014-03-01
8603677;Ding, Liren;GM;CHN;2717;0;1992;"";2014-03-01
24116068;Giri, Anish;GM;NED;2745;4;1994;"";2014-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;0;1985;"";2014-03-01
1503014;Carlsen, Magnus;GM;NOR;2881;0;1990;"";2014-04-01
2020009;Caruana, Fabiano;GM;ITA;2783;0;1992;"";2014-04-01
8603677;Ding, Liren;GM;CHN;2710;20;1992;"";2014-04-01
24116068;Giri, Anish;GM;NED;2745;0;1994;"";2014-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2760;14;1985;"";2014-04-01
1503014;Carlsen, Magnus;GM;NOR;2882;1;1990;"";2014-05-01
2020009;Caruana, Fabiano;GM;ITA;2783;0;1992;"";2014-05-01
8603677;Ding, Liren;GM;CHN;2714;4;1992;"";2014-05-01
24116068;Giri, Anish;GM;NED;2746;4;1994;"";2014-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2760;0;1985;"";2014-05-01
1503014;Carlsen, Magnus;GM;NOR;2881;10;1990;"";2014-06-01
2020009;Caruana, Fabiano;GM;ITA;2791;13;1992;"";2014-06-01
8603677;Ding, Liren;GM;CHN;2714;0;1992;"";2014-06-01
24116068;Giri, Anish;GM;NED;2752;3;1994;"";2014-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2743;10;1985;"";2014-06-01
1503014;Carlsen, Magnus;GM;NOR;2877;9;1990;"";2014-07-01
2020009;Caruana, Fabiano;GM;ITA;2789;9;1992;"";2014-07-01
8603677;Ding, Liren;GM;CHN;2726;10;1992;"";2014-07-01
24116068;Giri, Anish;GM;NED;2750;9;1994;"";2014-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2743;0;1985;"";2014-07-01
1503014;Carlsen, Magnus;GM;NOR;2877;0;1990;"";2014-08-01
2020009;Caruana, Fabiano;GM;ITA;2801;7;1992;"";2014-08-01
8603677;Ding, Liren;GM;CHN;2742;13;1992;"";2014-08-01
24116068;Giri, Anish;GM;NED;2745;10;1994;"";2014-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2743;0;1985;"";2014-08-01
1503014;Carlsen, Magnus;GM;NOR;2870;9;1990;"";2014-09-01
2020009;Caruana, Fabiano;GM;ITA;2801;9;1992;"";2014-09-01
8603677;Ding, Liren;GM;CHN;2754;10;1992;"";2014-09-01
24116068;Giri, Anish;GM;NED;2758;11;1994;"";2014-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2756;10;1985;"";2014-09-01
1503014;Carlsen, Magnus;GM;NOR;2863;10;1990;"";2014-10-01
2020009;Caruana, Fabiano;GM;ITA;2844;16;1992;"";2014-10-01
8603677;Ding, Liren;GM;CHN;2730;14;1992;"";2014-10-01
24116068;Giri, Anish;GM;NED;2768;14;1994;"";2014-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2764;11;1985;"";2014-10-01
1503014;Carlsen, Magnus;GM;NOR;2863;0;1990;"";2014-11-01
2020009;Caruana, Fabiano;GM;ITA;2839;11;1992;"";2014-11-01
8603677;Ding, Liren;GM;CHN;2730;0;1992;"";2014-11-01
24116068;Giri, Anish;GM;NED;2776;6;1994;"";2014-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2757;11;1985;"";2014-11-01
1503014;Carlsen, Magnus;GM;NOR;2862;11;1990;"";2014-12-01
2020009;Caruana, Fabiano;GM;ITA;2829;11;1992;"";2014-12-01
8603677;Ding, Liren;GM;CHN;2732;7;1992;"";2014-12-01
24116068;Giri, Anish;GM;NED;2768;11;1994;"";2014-12-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2765;11;1985;"";2014-12-01
1503014;Carlsen, Magnus;GM;NOR;2862;0;1990;"";2015-01-01
2020009;Caruana, Fabiano;GM;ITA;2820;5;1992;"";2015-01-01
8603677;Ding, Liren;GM;CHN;2732;16;1992;"";2015-01-01
24116068;Giri, Anish;GM;NED;2784;14;1994;"";2015-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2759;9;1985;"";2015-01-01
1503014;Carlsen, Magnus;GM;NOR;2865;13;1990;"";2015-02-01
2020009;Caruana, Fabiano;GM;ITA;2811;13;1992;"";2015-02-01
8603677;Ding, Liren;GM;CHN;2755;13;1992;"";2015-02-01
24116068;Giri, Anish;GM;NED;2797;13;1994;"";2015-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2759;0;1985;"";2015-02-01
1503014;Carlsen, Magnus;GM;NOR;2863;7;1990;"";2015-03-01
2020009;Caruana, Fabiano;GM;ITA;2802;12;1992;"";2015-03-01
8603677;Ding, Liren;GM;CHN;2755;0;1992;"";2015-03-01
24116068;Giri, Anish;GM;NED;2790;14;1994;"";2015-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2756;11;1985;"";2015-03-01
1503014;Carlsen, Magnus;GM;NOR;2863;0;1990;"";2015-04-01
2020009;Caruana, Fabiano;GM;ITA;2802;0;1992;"";2015-04-01
8603677;Ding, Liren;GM;CHN;2751;8;1992;"";2015-04-01
24116068;Giri, Anish;GM;NED;2790;0;1994;"";2015-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2754;10;1985;"";2015-04-01
1503014;Carlsen, Magnus;GM;NOR;2876;9;1990;"";2015-05-01
2020009;Caruana, Fabiano;GM;ITA;2803;9;1992;"";2015-05-01
8603677;Ding, Liren;GM;CHN;2757;9;1992;"";2015-05-01
24116068;Giri, Anish;GM;NED;2776;10;1994;"";2015-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2735;18;1985;"";2015-05-01
1503014;Carlsen, Magnus;GM;NOR;2876;0;1990;"";2015-06-01
2020009;Caruana, Fabiano;GM;ITA;2805;11;1992;"";2015-06-01
8603677;Ding, Liren;GM;CHN;2749;11;1992;"";2015-06-01
24116068;Giri, Anish;GM;NED;2773;11;1994;"";2015-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2735;0;1985;"";2015-06-01
1503014;Carlsen, Magnus;GM;NOR;2853;9;1990;"";2015-07-01
2020009;Caruana, Fabiano;GM;USA;2797;9;1992;"";2015-07-01
8603677;Ding, Liren;GM;CHN;2749;3;1992;"";2015-07-01
24116068;Giri, Anish;GM;NED;2791;19;1994;"";2015-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2735;0;1985;"";2015-07-01
1503014;Carlsen, Magnus;GM;NOR;2853;0;1990;"";2015-08-01
2020009;Caruana, Fabiano;GM;USA;2808;7;1992;"";2015-08-01
8603677;Ding, Liren;GM;CHN;2770;17;1992;"";2015-08-01
24116068;Giri, Anish;GM;NED;2793;7;1994;"";2015-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2735;0;1985;"";2015-08-01
1503014;Carlsen, Magnus;GM;NOR;2853;0;1990;"";2015-09-01
2020009;Caruana, Fabiano;GM;USA;2808;0;1992;"";2015-09-01
8603677;Ding, Liren;GM;CHN;2782;5;1992;"";2015-09-01
24116068;Giri, Anish;GM;NED;2793;0;1994;"";2015-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2736;14;1985;"";2015-09-01
1503014;Carlsen, Magnus;GM;NOR;2850;9;1990;"";2015-10-01
2020009;Caruana, Fabiano;GM;USA;2796;9;1992;"";2015-10-01
8603677;Ding, Liren;GM;CHN;2782;0;1992;"";2015-10-01
24116068;Giri, Anish;GM;NED;2798;9;1994;"";2015-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2736;0;1985;"";2015-10-01
1503014;Carlsen, Magnus;GM;NOR;2850;0;1990;"";2015-11-01
2020009;Caruana, Fabiano;GM;USA;2787;23;1992;"";2015-11-01
8603677;Ding, Liren;GM;CHN;2781;8;1992;"";2015-11-01
24116068;Giri, Anish;GM;NED;2778;18;1994;"";2015-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2743;16;1985;"";2015-11-01
1503014;Carlsen, Magnus;GM;NOR;2834;7;1990;"";2015-12-01
2020009;Caruana, Fabiano;GM;USA;2787;0;1992;"";2015-12-01
8603677;Ding, Liren;GM;CHN;2776;6;1992;"";2015-12-01
24116068;Giri, Anish;GM;NED;2784;15;1994;"";2015-12-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2748;8;1985;"";2015-12-01
1503014;Carlsen, Magnus;GM;NOR;2844;18;1990;"";2016-01-01
2020009;Caruana, Fabiano;GM;USA;2787;9;1992;"";2016-01-01
8603677;Ding, Liren;GM;CHN;2766;6;1992;"";2016-01-01
24116068;Giri, Anish;GM;NED;2798;18;1994;"";2016-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2747;13;1985;"";2016-01-01
1503014;Carlsen, Magnus;GM;NOR;2844;0;1990;"";2016-02-01
2020009;Caruana, Fabiano;GM;USA;2787;0;1992;"";2016-02-01
8603677;Ding, Liren;GM;CHN;2766;0;1992;"";2016-02-01
24116068;Giri, Anish;GM;NED;2798;0;1994;"";2016-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2747;0;1985;"";2016-02-01
1503014;Carlsen, Magnus;GM;NOR;2851;13;1990;"";2016-03-01
2020009;Caruana, Fabiano;GM;USA;2794;13;1992;"";2016-03-01
8603677;Ding, Liren;GM;CHN;2777;13;1992;"";2016-03-01
24116068;Giri, Anish;GM;NED;2793;13;1994;"";2016-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2747;13;1985;"";2016-03-01
1503014;Carlsen, Magnus;GM;NOR;2851;0;1990;"";2016-04-01
2020009;Caruana, Fabiano;GM;USA;2795;14;1992;"";2016-04-01
8603677;Ding, Liren;GM;CHN;2777;0;1992;"";2016-04-01
24116068;Giri, Anish;GM;NED;2790;14;1994;"";2016-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2750;9;1985;"";2016-04-01
1503014;Carlsen, Magnus;GM;NOR;2851;0;1990;"";2016-05-01
2020009;Caruana, Fabiano;GM;USA;2804;11;1992;"";2016-05-01
8603677;Ding, Liren;GM;CHN;2778;4;1992;"";2016-05-01
24116068;Giri, Anish;GM;NED;2790;0;1994;"";2016-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2748;4;1985;"";2016-05-01
1503014;Carlsen, Magnus;GM;NOR;2855;9;1990;"";2016-06-01
2020009;Caruana, Fabiano;GM;USA;2804;0;1992;"";2016-06-01
8603677;Ding, Liren;GM;CHN;2783;4;1992;"";2016-06-01
24116068;Giri, Anish;GM;NED;2782;9;1994;"";2016-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2746;9;1985;"";2016-06-01
1503014;Carlsen, Magnus;GM;NOR;2855;0;1990;"";2016-07-01
2020009;Caruana, Fabiano;GM;USA;2810;9;1992;"";2016-07-01
8603677;Ding, Liren;GM;CHN;2778;3;1992;"";2016-07-01
24116068;Giri, Anish;GM;NED;2785;9;1994;"";2016-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2764;12;1985;"";2016-07-01
1503014;Carlsen, Magnus;GM;NOR;2857;10;1990;"";2016-08-01
2020009;Caruana, Fabiano;GM;USA;2807;7;1992;"";2016-08-01
8603677;Ding, Liren;GM;CHN;2755;16;1992;"";2016-08-01
24116068;Giri, Anish;GM;NED;2769;10;1994;"";2016-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2764;0;1985;"";2016-08-01
1503014;Carlsen, Magnus;GM;NOR;2857;0;1990;"";2016-09-01
2020009;Caruana, Fabiano;GM;USA;2808;9;1992;"";2016-09-01
8603677;Ding, Liren;GM;CHN;2753;9;1992;"";2016-09-01
24116068;Giri, Anish;GM;NED;2755;9;1994;"";2016-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2761;7;1985;"";2016-09-01
1503014;Carlsen, Magnus;GM;NOR;2853;10;1990;"";2016-10-01
2020009;Caruana, Fabiano;GM;USA;2813;10;1992;"";2016-10-01
8603677;Ding, Liren;GM;CHN;2764;14;1992;"";2016-10-01
24116068;Giri, Anish;GM;NED;2756;11;1994;"";2016-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2762;10;1985;"";2016-10-01
1503014;Carlsen, Magnus;GM;NOR;2853;0;1990;"";2016-11-01
2020009;Caruana, Fabiano;GM;USA;2823;9;1992;"";2016-11-01
8603677;Ding, Liren;GM;CHN;2764;0;1992;"";2016-11-01
24116068;Giri, Anish;GM;NED;2767;9;1994;"";2016-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2762;9;1985;"";2016-11-01
1503014;Carlsen, Magnus;GM;NOR;2840;12;1990;"";2016-12-01
2020009;Caruana, Fabiano;GM;USA;2823;0;1992;"";2016-12-01
8603677;Ding, Liren;GM;CHN;2757;8;1992;"";2016-12-01
24116068;Giri, Anish;GM;NED;2771;6;1994;"";2016-12-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2768;7;1985;"";2016-12-01
1503014;Carlsen, Magnus;GM;NOR;2840;0;1990;"";2017-01-01
2020009;Caruana, Fabiano;GM;USA;2827;11;1992;"";2017-01-01
8603677;Ding, Liren;GM;CHN;2760;4;1992;"";2017-01-01
24116068;Giri, Anish;GM;NED;2773;9;1994;"";2017-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;2;1985;"";2017-01-01
1503014;Carlsen, Magnus;GM;NOR;2838;13;1990;"";2017-02-01
2020009;Caruana, Fabiano;GM;USA;2827;0;1992;"";2017-02-01
8603677;Ding, Liren;GM;CHN;2760;0;1992;"";2017-02-01
24116068;Giri, Anish;GM;NED;2769;13;1994;"";2017-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2766;0;1985;"";2017-02-01
1503014;Carlsen, Magnus;GM;NOR;2838;0;1990;"";2017-03-01
2020009;Caruana, Fabiano;GM;USA;2817;10;1992;"";2017-03-01
8603677;Ding, Liren;GM;CHN;2759;9;1992;"";2017-03-01
24116068;Giri, Anish;GM;NED;2769;0;1994;"";2017-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2772;9;1985;"";2017-03-01
1503014;Carlsen, Magnus;GM;NOR;2838;0;1990;"";2017-04-01
2020009;Caruana, Fabiano;GM;USA;2817;0;1992;"";2017-04-01
8603677;Ding, Liren;GM;CHN;2759;0;1992;"";2017-04-01
24116068;Giri, Anish;GM;NED;2771;2;1994;"";2017-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2772;0;1985;"";2017-04-01
1503014;Carlsen, Magnus;GM;NOR;2832;7;1990;"";2017-05-01
2020009;Caruana, Fabiano;GM;USA;2802;18;1992;"";2017-05-01
8603677;Ding, Liren;GM;CHN;2773;14;1992;"";2017-05-01
24116068;Giri, Anish;GM;NED;2785;20;1994;"";2017-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2772;0;1985;"";2017-05-01
1503014;Carlsen, Magnus;GM;NOR;2832;0;1990;"";2017-06-01
2020009;Caruana, Fabiano;GM;USA;2808;2;1992;"";2017-06-01
8603677;Ding, Liren;GM;CHN;2783;10;1992;"";2017-06-01
24116068;Giri, Anish;GM;NED;2771;17;1994;"";2017-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2800;22;1985;"";2017-06-01
1503014;Carlsen, Magnus;GM;NOR;2822;9;1990;"";2017-07-01
2020009;Caruana, Fabiano;GM;USA;2807;9;1992;"";2017-07-01
8603677;Ding, Liren;GM;CHN;2781;8;1992;"";2017-07-01
24116068;Giri, Anish;GM;NED;2775;9;1994;"";2017-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2800;0;1985;"";2017-07-01
1503014;Carlsen, Magnus;GM;NOR;2822;0;1990;"";2017-08-01
2020009;Caruana, Fabiano;GM;USA;2807;0;1992;"";2017-08-01
8603677;Ding, Liren;GM;CHN;2777;13;1992;"";2017-08-01
24116068;Giri, Anish;GM;NED;2772;9;1994;"";2017-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2797;9;1985;"";2017-08-01
1503014;Carlsen, Magnus;GM;NOR;2827;9;1990;"";2017-09-01
2020009;Caruana, Fabiano;GM;USA;2799;9;1992;"";2017-09-01
8603677;Ding, Liren;GM;CHN;2771;8;1992;"";2017-09-01
24116068;Giri, Anish;GM;NED;2777;4;1994;"";2017-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2797;0;1985;"";2017-09-01
1503014;Carlsen, Magnus;GM;NOR;2826;6;1990;"";2017-10-01
2020009;Caruana, Fabiano;GM;USA;2794;6;1992;"";2017-10-01
8603677;Ding, Liren;GM;CHN;2772;16;1992;"";2017-10-01
24116068;Giri, Anish;GM;NED;2762;8;1994;"";2017-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2791;4;1985;"";2017-10-01
1503014;Carlsen, Magnus;GM;NOR;2837;9;1990;"";2017-11-01
2020009;Caruana, Fabiano;GM;USA;2799;9;1992;"";2017-11-01
8603677;Ding, Liren;GM;CHN;2774;7;1992;"";2017-11-01
24116068;Giri, Anish;GM;NED;2762;7;1994;"";2017-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2799;5;1985;"";2017-11-01
1503014;Carlsen, Magnus;GM;NOR;2837;0;1990;"";2017-12-01
2020009;Caruana, Fabiano;GM;USA;2799;0;1992;"";2017-12-01
8603677;Ding, Liren;GM;CHN;2777;12;1992;"";2017-12-01
24116068;Giri, Anish;GM;NED;2752;18;1994;"";2017-12-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2799;8;1985;"";2017-12-01
1503014;Carlsen, Magnus;GM;NOR;2834;9;1990;"";2018-01-01
2020009;Caruana, Fabiano;GM;USA;2811;9;1992;"";2018-01-01
8603677;Ding, Liren;GM;CHN;2769;4;1992;"";2018-01-01
24116068;Giri, Anish;GM;NED;2752;0;1994;"";2018-01-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2804;4;1985;"";2018-01-01
1503014;Carlsen, Magnus;GM;NOR;2843;13;1990;"";2018-02-01
2020009;Caruana, Fabiano;GM;USA;2784;13;1992;"";2018-02-01
8603677;Ding, Liren;GM;CHN;2769;0;1992;"";2018-02-01
24116068;Giri, Anish;GM;NED;2777;13;1994;"";2018-02-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2814;13;1985;"";2018-02-01
1503014;Carlsen, Magnus;GM;NOR;2843;0;1990;"";2018-03-01
2020009;Caruana, Fabiano;GM;USA;2784;0;1992;"";2018-03-01
8603677;Ding, Liren;GM;CHN;2769;0;1992;"";2018-03-01
24116068;Giri, Anish;GM;NED;2777;0;1994;"";2018-03-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2809;2;1985;"";2018-03-01
1503014;Carlsen, Magnus;GM;NOR;2843;0;1990;"";2018-04-01
2020009;Caruana, Fabiano;GM;USA;2804;14;1992;"";2018-04-01
8603677;Ding, Liren;GM;CHN;2778;14;1992;"";2018-04-01
24116068;Giri, Anish;GM;NED;2777;0;1994;"";2018-04-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2814;14;1985;"";2018-04-01
1503014;Carlsen, Magnus;GM;NOR;2843;18;1990;"";2018-05-01
2020009;Caruana, Fabiano;GM;USA;2822;20;1992;"";2018-05-01
8603677;Ding, Liren;GM;CHN;2791;11;1992;"";2018-05-01
24116068;Giri, Anish;GM;NED;2776;9;1994;"";2018-05-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2808;9;1985;"";2018-05-01
1503014;Carlsen, Magnus;GM;NOR;2843;0;1990;"";2018-06-01
2020009;Caruana, Fabiano;GM;USA;2816;1;1992;"";2018-06-01
8603677;Ding, Liren;GM;CHN;2798;3;1992;"";2018-06-01
24116068;Giri, Anish;GM;NED;2782;1;1994;"";2018-06-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2808;0;1985;"";2018-06-01
1503014;Carlsen, Magnus;GM;NOR;2842;8;1990;"";2018-07-01
2020009;Caruana, Fabiano;GM;USA;2822;8;1992;"";2018-07-01
8603677;Ding, Liren;GM;CHN;2797;3;1992;"";2018-07-01
24116068;Giri, Anish;GM;NED;2782;0;1994;"";2018-07-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2801;8;1985;"";2018-07-01
1503014;Carlsen, Magnus;GM;NOR;2842;0;1990;"";2018-08-01
2020009;Caruana, Fabiano;GM;USA;2822;0;1992;"";2018-08-01
8603677;Ding, Liren;GM;CHN;2797;0;1992;"";2018-08-01
24116068;Giri, Anish;GM;NED;2780;7;1994;"";2018-08-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2801;0;1985;"";2018-08-01
1503014;Carlsen, Magnus;GM;NOR;2839;19;1990;"";2018-09-01
2020009;Caruana, Fabiano;GM;USA;2827;9;1992;"";2018-09-01
8603677;Ding, Liren;GM;CHN;2804;4;1992;"";2018-09-01
24116068;Giri, Anish;GM;NED;2780;0;1994;"";2018-09-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2820;19;1985;"";2018-09-01
1503014;Carlsen, Magnus;GM;NOR;2839;0;1990;"";2018-10-01
2020009;Caruana, Fabiano;GM;USA;2827;0;1992;"";2018-10-01
8603677;Ding, Liren;GM;CHN;2804;0;1992;"";2018-10-01
24116068;Giri, Anish;GM;NED;2780;0;1994;"";2018-10-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2820;0;1985;"";2018-10-01
1503014;Carlsen, Magnus;GM;NOR;2835;6;1990;"";2018-11-01
2020009;Caruana, Fabiano;GM;USA;2832;10;1992;"";2018-11-01
8603677;Ding, Liren;GM;CHN;2816;14;1992;"";2018-11-01
24116068;Giri, Anish;GM;NED;2780;20;1994;"";2018-11-01
13401319;Mamedyarov, Shakhriyar;GM;AZE;2817;14;1985;"";2018-11-01
